City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,khasab,26.1799,56.2477,36.05,61,100,1.8,OM,1690297290
110,west island,-12.1568,96.8225,24.99,73,75,8.75,CC,1690297290
111,yeppoon,-23.1333,150.7333,15.88,72,9,8.61,AU,1690297290
112,santa ana de yacuma,-13.75,-65.4333,28.97,58,0,2.06,BO,1690297290
113,talnakh,69.4865,88.3972,20.67,56,1,4.68,RU,1690297291
114,tezu,27.9167,96.1667,25.67,95,99,1.18,IN,1690297291
115,dalaba,10.7,-12.25,21.03,89,100,0.86,GN,1690297291
116,tazovsky,67.4667,78.7,18.18,62,66,4.5,RU,1690297292
117,carutapera,-1.195,-46.02,30.77,58,47,2.93,BR,1690297292
118,hermanus,-34.4187,19.2345,16.0,64,0,2.76,ZA,1690297293
119,moanda,-1.5575,13.2178,35.42,29,40,1.75,GA,1690297293
120,hasaki,35.7333,140.8333,25.73,88,62,3.74,JP,1690297293
121,lompoc,34.6391,-120.4579,17.08,100,40,0.0,US,1690297207
122,papatowai,-46.5619,169.4708,6.3,78,91,7.97,NZ,1690297294
123,thompson,55.7435,-97.8558,16.09,77,20,2.57,CA,1690297294
124,kishtwar,33.3167,75.7667,21.03,91,100,0.4,IN,1690297295
125,fort mcmurray,56.7268,-111.381,18.77,88,100,9.26,CA,1690297203
126,cockburn town,21.4612,-71.1419,28.84,75,29,6.44,TC,1690297295
127,port lincoln,-34.7333,135.8667,11.87,81,0,3.68,AU,1690297296
128,woodward,36.4337,-99.3904,31.57,42,0,7.2,US,1690297296
129,el-tor,28.2364,33.6254,37.08,39,1,6.69,EG,1690297296
130,karratha,-20.7377,116.8463,19.3,71,11,3.66,AU,1690297297
131,desaguadero,-16.5656,-69.0417,10.94,14,0,1.48,PE,1690297297
132,villa la angostura,-40.7617,-71.6463,2.56,100,100,2.24,AR,1690297248
133,trashigang,27.3331,91.5542,22.39,95,100,0.74,BT,1690297298
134,kota bharu,6.1333,102.2386,28.97,88,20,0.0,MY,1690297298
135,weno,7.4515,151.8468,28.2,79,95,4.77,FM,1690297298
136,kenora,49.8167,-94.4337,21.54,73,75,3.09,CA,1690297181
137,jieshi,22.8134,115.8257,28.78,79,50,3.17,CN,1690297299
138,kruisfontein,-34.0033,24.7314,16.05,58,0,3.08,ZA,1690297300
139,olyokminsk,60.3736,120.4264,17.32,88,27,1.95,RU,1690297300
140,dunedin,-45.8742,170.5036,6.56,72,97,8.49,NZ,1690297291
141,agudos,-22.4692,-48.9875,26.19,48,0,2.57,BR,1690297194
142,mirriah,13.7073,9.1501,34.34,49,40,5.14,NE,1690297301
143,naama,33.2667,-0.3167,37.63,10,1,2.35,DZ,1690297301
144,almeirim,-1.5233,-52.5817,32.72,43,50,1.8,BR,1690297293
145,zhezqazghan,47.7833,67.7667,33.32,17,0,6.0,KZ,1690297302
146,nova vicosa,-17.8919,-39.3719,23.39,87,91,1.63,BR,1690297240
147,lemvig,56.5486,8.3102,17.33,75,25,9.32,DK,1690297305
148,zouerate,22.7187,-12.4521,40.71,10,1,5.32,MR,1690297306
149,klyuchi,52.2667,79.1667,21.18,50,28,3.1,RU,1690297306
150,bodaybo,57.8506,114.1933,18.65,80,10,1.47,RU,1690297306
151,puerto lempira,15.2667,-83.7667,29.08,74,40,4.12,HN,1690297256
152,isafjordur,66.0755,-23.124,12.02,71,20,5.14,IS,1690297307
153,dien bien phu,21.3833,103.0167,25.02,80,97,0.94,VN,1690297307
154,noumea,-22.2763,166.4572,20.56,99,98,6.19,NC,1690297054
155,muleba,-1.8397,31.6544,25.53,46,69,3.63,TZ,1690297308
156,dinar,38.065,30.1656,31.98,13,0,6.34,TR,1690297308
157,tofol,5.3248,163.0078,28.6,77,98,5.06,FM,1690297309
158,belmonte,-15.8631,-38.8828,23.63,84,90,2.02,BR,1690297310
159,suffolk,40.8668,-72.7996,29.08,78,20,4.12,US,1690297310
160,fort bragg,35.139,-79.006,32.68,65,0,0.89,US,1690297031
161,kingston,17.997,-76.7936,31.8,60,20,2.06,JM,1690297311
162,ceres,37.5949,-120.9577,23.72,65,2,3.53,US,1690297312
163,luganville,-15.5333,167.1667,23.7,89,99,4.26,VU,1690297312
164,island harbour,50.724,-1.2758,20.82,72,77,2.68,GB,1690297313
165,acapulco de juarez,16.8634,-99.8901,29.99,63,87,0.72,MX,1690297307
166,tromso,69.6496,18.957,20.01,52,20,3.09,NO,1690297314
167,dudinka,69.4058,86.1778,20.9,52,0,7.34,RU,1690297314
168,hadibu,12.65,54.0333,25.73,72,6,10.26,YE,1690297315
169,pemangkat,1.1667,108.9667,26.87,79,48,4.9,ID,1690297315
170,cruzeiro do sul,-29.5128,-51.9853,19.16,89,100,0.18,BR,1690297315
171,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,82,75,1.0,RU,1690297321
172,labrador city,52.9463,-66.9114,21.95,49,40,4.12,CA,1690297321
173,port alfred,-33.5906,26.891,17.32,71,5,0.89,ZA,1690297322
174,san antonio de pale,-1.4014,5.6325,23.29,81,12,4.27,GQ,1690297322
175,az zarqa,32.0728,36.088,35.95,21,0,6.17,JO,1690297082
176,alvorada,-12.48,-49.1247,33.39,23,0,3.61,BR,1690297323
177,nuriootpa,-34.4833,139.0,9.1,83,0,2.91,AU,1690297323
178,antsiranana,-12.2787,49.2917,26.42,57,40,6.17,MG,1690297324
